[[-0.854   0.6485  0.4305 -0.1986]
 [-0.9874  0.7393 -0.0106  0.9267]
 [-0.9872  0.7418 -0.0094  0.9249]
 [-0.987   0.7442 -0.0081  0.923 ]
 [-0.9868  0.7466 -0.0069  0.9211]
 [-0.9866  0.749  -0.0056  0.9192]
 [-0.9864  0.7513 -0.0044  0.9173]
 [-0.9862  0.7535 -0.0032  0.9153]
 [-0.986   0.7558 -0.002   0.9134]
 [-0.9858  0.758  -0.0008  0.9115]
 [-0.9856  0.7602  0.0004  0.9096]
 [-0.9854  0.7624  0.0015  0.9077]
 [-0.9852  0.7645  0.0026  0.9058]
 [-0.985   0.7666  0.0038  0.904 ]
 [-0.9848  0.7688  0.0049  0.9022]
 [-0.9846  0.7708  0.006   0.9005]
 [-0.9844  0.7729  0.0072  0.8987]
 [-0.9842  0.7748  0.0083  0.8969]
 [-0.984   0.7768  0.0094  0.895 ]
 [-0.9838  0.7786  0.0106  0.8932]
 [-0.9836  0.7805  0.0117  0.8913]
 [-0.9834  0.7822  0.0129  0.8894]
 [-0.9833  0.784   0.014   0.8875]
 [-0.9831  0.7857  0.0152  0.8856]
 [-0.9829  0.7874  0.0163  0.8838]
 [-0.9827  0.789   0.0174  0.8819]
 [-0.9825  0.7906  0.0185  0.8801]
 [-0.9823  0.7922  0.0196  0.8782]
 [-0.9821  0.7938  0.0206  0.8764]
 [-0.9819  0.7954  0.0216  0.8747]
 [-0.9817  0.797   0.0226  0.873 ]
 [-0.9815  0.7986  0.0235  0.8713]
 [-0.9813  0.8001  0.0244  0.8696]
 [-0.9811  0.8017  0.0253  0.868 ]
 [-0.9809  0.8032  0.0261  0.8664]
 [-0.9807  0.8047  0.027   0.8648]
 [-0.9805  0.8062  0.0278  0.8632]
 [-0.9803  0.8077  0.0285  0.8617]
 [-0.9801  0.8092  0.0293  0.8602]
 [-0.9799  0.8106  0.03    0.8587]
 [-0.9796  0.812   0.0308  0.8572]
 [-0.9794  0.8134  0.0315  0.8557]
 [-0.9785  0.8185  0.0309  0.8575]
 [-0.9773  0.825   0.0299  0.8604]
 [-0.9759  0.8316  0.0289  0.8633]
 [-0.9747  0.8379  0.0279  0.8662]
 [-0.9734  0.8443  0.0268  0.8693]
 [-0.9721  0.8507  0.0256  0.8725]
 [-0.9708  0.8573  0.0243  0.8759]
 [-0.9695  0.8638  0.0231  0.8793]
 [-0.9682  0.8704  0.0218  0.8826]
 [-0.9668  0.8768  0.0206  0.8859]
 [-0.9655  0.8831  0.0193  0.8891]
 [-0.9642  0.8894  0.0181  0.8923]
 [-0.9629  0.8956  0.0169  0.8954]
 [-0.9616  0.9018  0.0156  0.8985]
 [-0.9603  0.908   0.0144  0.9017]
 [-0.959   0.9141  0.0131  0.9048]
 [-0.9576  0.9203  0.0118  0.9081]
 [-0.9563  0.9265  0.0104  0.9113]
 [-0.9549  0.9326  0.0091  0.9146]
 [-0.9536  0.9387  0.0077  0.9179]
 [-0.9522  0.9449  0.0063  0.9212]
 [-0.9508  0.9509  0.0049  0.9245]
 [-0.9494  0.9569  0.0035  0.9277]
 [-0.948   0.9629  0.0021  0.931 ]
 [-0.9466  0.9689  0.0007  0.9342]
 [-0.9452  0.9748 -0.0007  0.9374]
 [-0.9438  0.9806 -0.0021  0.9407]
 [-0.9376  0.981  -0.0023  0.9399]
 [-0.9294  0.9796 -0.0023  0.9375]
 [-0.92    0.9771 -0.0021  0.9342]
 [-0.9099  0.9743 -0.0018  0.9306]
 [-0.8995  0.9712 -0.0017  0.927 ]
 [-0.889   0.968  -0.0015  0.9235]
 [-0.8783  0.9648 -0.0015  0.92  ]
 [-0.8676  0.9614 -0.0014  0.9165]
 [-0.8568  0.9579 -0.0013  0.9129]
 [-0.8461  0.9545 -0.0013  0.9094]
 [-0.8356  0.9511 -0.0013  0.9058]
 [-0.8254  0.9479 -0.0012  0.9024]]
